GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-console-application,com.turankanbur.calculator,IngredientManagement,0,188,0,14,0,53,0,16,0,9
java-console-application,com.turankanbur.calculator,Ingredient,0,19,0,0,0,8,0,4,0,4
java-console-application,com.turankanbur.calculator,Menu,31,1484,8,81,6,503,8,79,0,30
java-console-application,com.turankanbur.calculator,User,0,15,0,0,0,6,0,3,0,3
java-console-application,com.turankanbur.calculator,Meal,0,43,0,2,0,13,0,6,0,5
java-console-application,com.turankanbur.calculator,MealManagement,0,178,0,8,0,49,0,11,0,7
java-console-application,com.turankanbur.calculator,RecipeManagement,0,212,0,10,0,57,0,13,0,8
java-console-application,com.turankanbur.calculator,Recipe,0,32,0,0,0,13,0,7,0,7
